Name,MW,time
!28V_4MKB_A,453.554,4919
!292_1VYW_A,291.347,3340
!29A_3ROC_A,449.835,5508
!29B_3ROC_A,239.248,529
!29M_4MDD_A,510.643,5464
!29R_4CB6_A,364.376,9305
!2A8_3ZYA_A,314.38,1103
!2A9_2YEA_A,154.163,940
!2AM_3AHW_A,345.205,7113
!2AN_2WOR_A,298.336,2133
!2AZ_2GM1_A,505.031,10093
!2B2_4M3B_A,314.326,3499
!2B4_4AJH_B,273.037,1567
!2B8_4P10_A,265.351,5908
!2BG_4CXR_A,165.235,838
!2BI_4IZ0_A,341.598,1551
!2BW_4MR8_A,225.222,463
!2BX_4MR9_A,173.21,3115
!2C0_4MS4_A,213.661,1492
!2C3_4MQ1_A,542.394,9976
!2C6_4MSG_A,475.563,3446
!2C7_3DD8_A,371.472,2525
!2CB_4A31_A,409.549,8787
!2CG_2E4V_A,202.142,534
!2CL_2IS7_A,204.03,983
!2D1_4M3F_A,324.462,3352
!2D2_4MTA_A,201.198,1244
!2D4_2YE9_A,397.467,1954
!2D7_2BYH_A,371.774,2667
!2DD_2BYI_A,422.843,3264
!2DK_4MUG_A,396.395,8203
!2DL_2XDL_A,223.268,1761
!2DQ_4MUI_A,417.412,8955
!2DX_4MTI_A,541.725,14235
!2E3_3FUG_A,363.469,7798
!2E5_4MUY_A,266.062,1945
!2E6_4MV0_A,266.062,1896
!2E7_4MV5_A,300.507,1932
!2E9_4MW2_B,380.912,4841
!2EB_4MW4_B,466.745,5644
!2EK_4MWB_B,365.322,3520
!2EX_4N00_A,383.396,15220
!2EY_4MYA_A,366.801,3648
!2F8_4N34_A,235.234,1749
!2FA_1PK9_A,286.24,5671
!2FD_1Z34_A,269.232,5542
!2FG_4MOQ_A,182.147,4016
!2FP_3ELF_A,336.084,654
!2FT_3LA3_A,166.08,305
!2FX_3KFS_B,191.226,1746
!2FZ_4P6G_A,485.528,9079
!2G1_4M3G_A,350.38,3571
!2G2_4P4B_A,439.269,1085
!2G4_4P4E_A,356.288,3571
!2G5_4P4I_A,414.261,4179
!2G6_4OI5_E,440.493,4639
!2GD_4N1T_A,270.138,1256
!2GE_4N1U_A,296.175,2318
!2GG_2UWD_A,388.802,3070
!2GP_1HYF_A,361.205,7031
!2GU_4N3R_A,455.484,11596
!2GY_4N4V_A,443.541,1221
!2H5_4MOR_A,182.147,4046
!2H8_4KS1_A,284.351,3994
!2HG_2YC0_A,146.098,306
!2HJ_4N9D_A,423.528,5100
!2HN_4B6S_A,369.218,8274
!2HU_4N97_A,162.145,1102
!2HW_4N6Z_A,314.366,5889
!2HX_4N70_A,458.456,8743
!2IC_2ICA_A,555.432,11823
!2IW_4DVI_A,423.463,2121
!2J4_5FKY_A,220.246,9539
!2J7_4NBN_B,322.361,2609
!2J9_4N07_A,242.27,5600
!2JJ_4NF5_B,195.11,379
!2JL_4NF6_B,377.37,3468
!2K7_4NKA_A,435.479,4281
!2K8_4NJH_A,210.17,5564
!2KA_4NJK_A,193.14,5690
!2KD_4NJ3_A,503.911,5185
!2KF_4NGA_H,591.741,12197
!2KJ_4FVX_A,218.254,508
!2KN_4NCW_B,291.346,2868
!2KR_4P1R_A,331.371,6254
!2KS_4N8D_A,322.464,5255
!2KU_2YEH_A,207.232,5867
!2KV_4N8E_A,321.865,2710
!2L1_4NP2_A,229.321,5703
!2L3_4NMF_A,253.251,6556
!2LC_4NH8_A,399.459,8108
!2LI_3IVI_A,511.626,15685
!2LJ_4NQD_A,330.294,3721
!2LK_4NR4_A,337.803,6306
!2LL_4NR5_A,431.55,11952
!2LN_4NR6_A,469.593,11066
!2LO_5BT3_A,510.048,14496
!2LQ_4PBT_A,316.395,5486
!2LX_4NRB_A,235.279,3931
!2LY_4NRC_A,199.227,2574
!2M4_4G1R_A,342.296,12292
!2M5_3OAZ_H,208.209,1681
!2M8_3ZX5_A,267.21,2964
!2M9_4NJ9_H,469.442,9705
!2N0_4PCE_A,253.339,6471
!2NJ_4PCI_A,252.311,5250
!2NK_4NUS_A,382.426,1144
!2NP_1F06_B,186.185,530
!2NR_4NW5_A,424.422,4790
!2NS_4NW6_A,416.429,3137
!2O3_4NYW_A,378.467,7352
!2O7_2O7N_A,408.28,8542
!2OH_2E2R_A,228.286,1470
!2OO_4O0Y_A,337.379,7563
!2P1_4O15_A,460.429,4786
!2P6_4AN0_A,339.431,6521
!2PG_1O98_A,183.033,337
!2PJ_4PES_A,398.446,5060
!2Q2_4O8M_A,195.147,446
!2Q8_4O04_A,352.45,8722
!2Q9_4O05_A,435.582,9382
!2QA_4O0B_A,390.518,5392
!2QC_5FE5_B,192.261,1200
!2QE_4NWC_A,232.211,525
!2QF_4O10_A,426.436,7408
!2QJ_4NZ2_A,486.688,4426
!2QM_4OC5_A,567.33,6986
!2QN_4OC4_A,566.346,14970
!2QP_4OC3_A,555.32,17894
!2QU_4OBP_A,241.224,8228
!2QV_4OBO_A,255.702,8519
!2R2_4PFD_A,433.425,19711
!2R4_4O72_A,413.488,830
!2R6_4O09_A,378.507,8237
!2R7_4OC0_A,501.272,10686
!2RE_4O77_A,331.343,703
!2RJ_4O7B_A,444.524,3735
!2RM_4O0Z_A,426.436,9031
!2RN_4O7E_A,313.353,735
!2RQ_4O7F_A,446.497,5318
!2S6_4OG3_A,419.579,8505
!2S7_4OG5_A,420.567,8783
!2S9_4OG6_A,437.569,8678
!2SA_2VD6_B,459.262,22282
!2SC_2R3O_A,331.371,14181
!2SE_4OG7_A,474.636,17590
!2SF_4OG8_A,419.602,14709
!2SH_4O6E_A,449.906,11629
!2SK_2F7P_A,270.368,10240
!2SQ_4OJR_A,452.495,9369
